UHS,_clr,[[-2.          0.17400419 -1.         -3.28846154 -5.96428571]]
,,
UHS,_chr,[[-0.13908873  3.41401274  1.          7.6         2.        ]]
,,
MS,_clr,"[[ -1.02140518e-14  -3.55612245e+00  -1.35320417e+00  -7.78571429e+00
    1.45112782e+00]]"
,,
MS,_chr,[[-0.21717172  3.58173077  7.75       -2.72972973  1.37412096]]
,,
TJX,_clr,"[[ -2.14354067e+00  -5.10702591e-15  -1.00000000e+00  -4.64705882e+00
    1.33333333e+00]]"
,,
TJX,_chr,[[ 1.          3.31147541 -0.0648855   2.          7.6       ]]
,,
NOV,_clr,[[-1.         -2.37434555 -8.4         0.27678571 -4.49137931]]
,,
NOV,_chr,[[ 2.33048433 -0.22325581  1.          4.98165138 -2.88235294]]
,,
AMGN,_clr,"[[ -1.00000000e+00  -3.52500000e+00   1.35294118e+00  -3.44169138e-15
   -2.00000000e+00]]"
,,
AMGN,_chr,[[-0.09072165  2.          1.          6.          3.25688073]]
,,
FB,_clr,[[  0.34663342  -3.93103448  16.25        -1.35215947 -11.33333333]]
,,
FB,_chr,[[ -0.2866242    3.88340807  11.16666667   1.35778443  28.        ]]
,,
COST,_clr,"[[ -4.21884749e-15  -1.00000000e+00  -2.30065359e+00  -1.60000000e+01
    1.23255814e+00]]"
,,
COST,_chr,"[[  1.00000000e+00   2.19254658e+00  -4.21884749e-15   4.71428571e+00
   -1.21875000e+00]]"
,,
FE,_clr,[[-1.          0.06654344 -2.         -7.28571429 -3.25373134]]
,,
FE,_chr,[[ 1.         -0.05772812  5.0625      2.2267658  -9.        ]]
,,
CTL,_clr,[[  0.11073254  -2.24637681 -23.          -1.          -5.        ]]
,,
CTL,_chr,[[  1.24585987  18.33333333  -0.12304687   3.88       -18.        ]]
,,
DPS,_clr,"[[ -1.00000000e+00   1.99840144e-15  -2.13815789e+00  -5.08333333e+00
    1.13333333e+00]]"
,,
DPS,_chr,"[[ -1.22124533e-15   1.00000000e+00   2.16939891e+00   4.84615385e+00
   -1.14285714e+00]]"
,,
FL,_clr,[[-2.42900302  0.1021611  -1.         -6.40740741  3.8125    ]]
,,
FL,_chr,[[  1.           2.27478754  -0.18414322  11.28571429   4.63043478]]
,,
DOW,_clr,[[-2.29746835  0.14913958 -4.890625   -1.          3.0952381 ]]
,,
DOW,_chr,[[ 3.4296875  -0.23319328  7.1875      1.          2.        ]]
,,
MSFT,_clr,[[ -3.57746479   0.13076923  -1.2253886    4.875      -10.6       ]]
,,
MSFT,_chr,[[ 2.21052632 -0.13207547  5.05405405  1.         -6.66666667]]
,,
GLW,_clr,[[-2.52507375 -1.          0.14177694 -9.33333333  4.6       ]]
,,
GLW,_chr,[[-0.14699332  2.37313433  1.          6.76       -4.3       ]]
,,
SCHW,_clr,"[[ -1.00000000e+00  -4.95833333e+00  -2.28977273e+00   1.34951456e+00
    7.54951657e-15]]"
,,
SCHW,_chr,"[[ -1.45918367e+00   2.48210024e+00   5.79487179e+00   1.00000000e+00
    4.66293670e-15]]"
,,
BSX,_clr,[[-1.         -5.27659574  0.18097448 -2.23380282  4.7       ]]
,,
BSX,_chr,[[ -0.16475973   2.27123288   4.52702703   1.          10.25      ]]
,,
GGP,_clr,[[ -1.           0.12475634  -2.26422764  -4.6097561  -16.        ]]
,,
GGP,_chr,[[ -0.13107822   2.25         1.           4.54285714  14.        ]]
,,
FCX,_clr,[[ -2.32717678  -5.04093567 -10.47540984   1.97419355  -0.57704918]]
,,
FCX,_chr,[[  0.97337963  -1.93243243   8.82258065  18.63636364   4.03780069]]
,,
UPS,_clr,"[[ -1.00000000e+00  -4.10782519e-15  -2.26277372e+00  -7.00000000e+00
    1.22413793e+00]]"
,,
