action,reward,state,ticker
-1,8.0,3311,464
-1,8.0,1131,472
1,4.202467033962719,3331,473
-1,7.872,1111,490
1,112.59018900275198,3331,495
-1,-32.96000000000001,3131,499
1,129.69055518063237,1331,77
1,-40.928098091008025,3131,2
-1,76.28044288,3331,21
1,-46.36190720000001,1111,25
1,114.15775232,1331,33
1,-17.481003056824648,3131,37
1,183.8078118841549,3331,65
1,100.0680448,1331,82
1,52.2248386036478,3331,87
1,119.872,1311,93
1,-5.0754461696000135,3131,100
1,101.79431383039999,3331,102
-1,1.587385106431995,3311,111
1,37.44,3111,136
1,144.192,3311,149
1,-64.85427557804016,1111,152
-1,8.0,3331,160
-1,-128.42574877091852,1131,162
1,-56.464525721600005,1331,163
-1,-69.00480000000002,3331,178
1,63.347199999999994,1111,189
1,37.44,3311,194
1,-84.10442199700772,1111,207
1,156.4992574841478,3331,208
1,178.52499279872,3331,213
-1,-25.6,3131,228
1,129.4390662290236,3311,231
1,7.007000897781751,3331,236
-1,8.0,3311,252
1,-27.46907353161799,1111,265
1,147.2524445667682,3331,277
1,8.0,1131,294
1,-7.052800000000005,3331,305
1,60.36938047487999,1131,306
-1,-100.72422400000002,3331,307
1,70.66945994752001,3311,313
1,184.12119135846623,3331,334
1,110.24651370496,1311,340
1,58.035441664,1131,341
1,-44.346112169738255,3131,346
-1,-32.96000000000001,3131,354
1,86.38106748715006,3331,356
-1,-48.63731712000001,3331,375
-1,-27.4947072,1311,380
-1,70.9862909083648,1331,382
1,102.62246473727998,3311,384
1,-9.88319084184517,3111,387
1,136.76278749042766,3331,392
-1,-30.964019200000003,1111,399
1,134.37507584,3311,412
1,19.177902079999996,3111,418
1,103.67161948655581,1311,419
1,45.459967999999996,3331,427
1,-82.59268263657749,3111,429
1,35.7970849366016,1111,433
1,107.79080704,1131,434
1,-7.052800000000005,3311,441
-1,8.0,3311,455
-1,8.0,1331,461
-1,8.0,3311,477
-1,-64.45345423360001,3131,479
1,10.729902079999995,3111,482
1,59.514736639999995,1331,489
-1,8.0,3311,493
-1,8.0,3331,19
-1,8.0,3111,23
-1,-6.59412992,1131,29
-1,8.0,1331,47
-1,-32.96000000000001,3331,71
-1,6.654829363200001,3311,79
-1,8.0,3131,98
1,90.2016,3311,141
-1,-30.324224000000008,3311,164
-1,-69.072384,3331,196
-1,8.0,3111,203
1,58.77122470791264,1331,230
-1,82.53189650765577,3111,234
-1,8.0,1131,285
-1,-69.00480000000002,3331,290
-1,1.3951999999999956,3331,317
-1,8.0,1311,338
-1,143.3472,3311,344
-1,144.192,3111,360
-1,25.838384742400002,1111,368
-1,8.0,1131,391
-1,31.627776000000004,3331,422
1,17.960447999999992,3111,426
-1,-32.96000000000001,3311,474
-1,8.0,3131,485
-1,-60.347325212262405,3131,43
-1,8.0,1331,76
1,2.127050342400004,3311,106
-1,8.0,3311,199
-1,2.2438092800000007,1131,258
-1,-31.152640000000005,3331,272
-1,8.0,1111,376
-1,8.0,3311,428
-1,8.367345663999998,3111,480
-1,-128.63731712000003,1111,488
1,37.44,1111,3
-1,8.0,1131,7
1,19.177902079999996,3331,15
1,83.55529277439999,3131,17
-1,8.0,1331,38
1,38.18260831038931,3331,53
1,92.8755940047828,3331,64
1,29.669649813719516,3131,75
1,14.673021072834558,3331,115
-1,8.0,3331,132
1,102.37204077261538,3331,144
1,-57.32389394942054,3111,148
1,111.03999999999999,1331,154
1,151.970569486336,3311,171
-1,113.3952,3311,214
-1,44.06760620032001,1111,222
1,7.565972282698986,3131,224
-1,50.317004800000014,3331,275
1,110.9632,3131,296
1,50.42527974850561,3311,312
1,59.69623239590066,3331,314
-1,-81.68924552470577,3331,331
1,81.56419646584669,3311,359
1,157.90254655807962,3331,361
1,169.63645790433333,3331,367
1,-51.22209792000002,3331,370
1,118.4,3331,374
-1,8.0,3331,406
1,54.69802086399999,1131,407
1,-4.9387638292480105,3311,446
-1,-35.766706211074876,3331,463
1,99.42804479999998,3331,465
1,22.774737504961436,3111,13
-1,8.0,1331,22
1,-47.3326056833024,3111,30
-1,8.0,3131,32
1,99.17790208,3331,46
1,172.3893946761831,1311,56
1,137.647616,1311,69
1,-11.389440000000008,3111,73
1,63.347199999999994,3331,84
1,90.07283411661535,3331,90
-1,8.0,1311,94
1,-79.13042551373826,1331,110
1,77.67295999999999,1311,112
1,65.7814749002072,1331,118
1,110.9632,1331,123
1,-80.66168832000001,1111,124
1,-44.46639262924802,1131,127
-1,41.227776,3311,129
1,69.34534307839999,3311,156
1,-46.36190720000001,3331,179
-1,8.0,1311,190
1,110.9632,3111,202
1,-54.18392933289165,3111,204
1,-12.752384000000013,3311,218
1,18.233398962421745,3131,241
-1,8.0,3311,246
1,-80.66168832000001,3331,250
1,11.224278833037303,1111,256
1,104.58781833928775,3331,293
1,145.94704976140343,3331,299
1,-56.26091725904256,3311,332
1,-7.052800000000005,3131,342
-1,8.0,1131,347
-1,8.0,3331,352
1,49.286655999999994,1111,362
1,-30.621477275791143,3331,400
1,79.73533900698023,3331,403
-1,96.9376768,1111,421
-1,8.0,3331,424
1,112.73488384,3331,432
1,117.99650680831999,3331,436
1,54.59199999999999,1111,442
1,-86.70808530881254,1331,462
-1,-64.51930210538787,3331,487
1,57.71519999999998,3331,494
1,97.71486786816783,3331,496
1,41.026559999999996,3311,497
-1,10.995199999999997,3331,96
-1,-32.96000000000001,1111,173
-1,-32.96000000000001,3331,223
1,-27.992333346406426,1111,449
-1,8.0,1131,24
1,111.03999999999999,1331,49
-1,-32.96000000000001,1311,54
-1,8.0,1131,61
1,146.13618573862504,3311,66
-1,-32.96000000000001,3311,81
1,-37.908878373683216,3331,95
1,111.03999999999999,1131,104
1,-63.53272989259566,1311,107
1,10.789375999999976,3311,108
-1,-48.63731712000001,3331,109
1,110.9632,3311,131
-1,-56.70770159530112,3131,140
-1,8.0,3331,153
-1,8.0,1111,161
-1,8.0,3111,175
1,8.0,1311,177
1,-24.7168,1111,180
1,133.43245303729358,3311,182
1,28.153827023912953,1111,186
1,59.95425061186779,3311,191
1,123.86310307839999,3131,198
1,110.9632,3111,225
1,110.9632,1311,229
1,166.88896,3111,242
-1,8.0,3111,244
1,-67.18727700480001,1111,245
1,-18.008371200000006,3111,249
1,-109.19712498904472,3311,264
1,115.38587768931228,3131,266
1,119.2832,3131,278
1,39.842313830399995,3311,279
1,10.09794446131199,1311,287
1,110.9632,3311,303
1,81.12990208,1311,309
1,176.12877498023937,3331,320
1,117.44,1111,321
1,148.928,3131,327
1,-46.36190720000001,1111,335
1,64.9919164729262,1111,350
1,101.79431383039999,1111,355
1,-40.32892780544,3111,379
1,86.14553599999998,3111,388
1,63.588770718590744,3331,411
1,56.77055999999999,1311,438
-1,-25.225210265599998,1331,440
-1,-68.88704000000001,1311,451
1,119.24520328626176,1111,453
1,91.14441728,1111,458
1,23.535474278400002,3331,459
-1,8.0,3311,460
1,40.583921664,3111,466
-1,61.87094628761599,3311,471
1,-41.219377561600005,3311,475
1,106.20807167999999,1311,478
-1,-69.00480000000002,1111,481
1,23.4332687761408,3331,6
1,-20.069727655313862,3331,35
1,111.55854165671936,3231,45
1,106.95141286655033,3311,58
1,111.03999999999999,1331,60
-1,-32.96000000000001,3331,68
-1,8.0,3111,72
-1,8.0,3111,130
1,-8.61862867274791,1111,151
-1,-32.96000000000001,3131,155
-1,-32.96000000000001,1311,165
1,129.47199999999998,1331,166
1,111.03999999999999,3131,183
-1,-38.77222400000001,1111,195
1,110.9632,1111,233
-1,8.0,1311,253
1,31.810963286261753,1111,274
-1,8.0,1331,280
1,-46.7794957475708,3131,329
1,111.03999999999999,1311,330
1,37.44,3131,333
1,54.03881062399999,1131,336
-1,8.0,1331,348
1,45.975653285888,1331,363
1,31.810963286261753,3111,409
1,72.52973631402632,1131,410
1,137.647616,3111,416
1,-0.8274824436121548,3331,444
1,57.647616,1111,454
1,124.25607167999999,1111,456
1,161.18937599999998,3331,457
1,140.85376000000002,3111,468
1,-22.26082435956736,3311,483
1,181.7943138304,3131,70
1,102.77650706333696,3311,83
1,63.55373670399998,1331,146
1,-16.060676538368007,3131,158
1,146.3534361010493,1131,261
-1,8.0,1311,324
-1,1.3951999999999956,3331,339
-1,8.0,1131,364
-1,-0.24618503372800404,3331,366
1,-45.1365324109906,3131,371
-1,8.0,3331,430
1,15.371176854683647,3311,464
1,83.06425006537182,1131,472
-1,112.38471679999999,3131,408
1,-39.37638400000001,3331,21
-1,8.0,1131,37
-1,8.0,3131,65
-1,209.57881261517733,1331,87
-1,98.6474165108736,1331,93
-1,8.0,1311,111
1,-113.61450995719296,1131,162
1,88.85717376623,3331,178
1,-45.47046352486401,3111,213
-1,8.0,1111,252
-1,166.0233451106694,3311,277
-1,80.73689506341474,1131,294
-1,227.6902361903923,1111,306
-1,156.21681583693893,1331,307
-1,138.31686275072002,1111,313
-1,114.02370655178493,3311,334
1,-26.560000000000002,1111,341
1,7.625622700229421,3131,354
-1,8.0,3311,356
-1,144.192,1131,375
1,71.86684793881042,1311,380
-1,189.37663635456002,1311,382
-1,-69.00480000000002,3331,412
-1,8.0,3131,427
-1,98.12935754935474,1111,429
-1,-56.63310258846773,3331,434
1,139.50298179284317,3311,455
1,149.70424103250429,1331,461
1,-16.187074969600005,3131,479
-1,7.039999999999992,3131,482
-1,206.0930506752,1311,489
-1,0.6399999999999935,3111,493
1,48.066861909934076,1111,5
-1,-109.55962514800642,3111,9
1,134.2761692758016,3331,19
-1,0.6399999999999935,3331,23
-1,64.19200000000001,3311,27
-1,-66.3168,1131,39
-1,40.57683868254209,1111,47
1,-12.752384000000013,3311,50
-1,-15.8874525696,3111,67
1,0.6399999999999935,3311,71
1,-32.96000000000001,3111,79
-1,88.0,3331,88
