alpha,cash,dix,gamma,i_value,index,p_value,simrun,time
0.1,17.0,13751,0.9,1109093561,SP500_50,1214138065.0,2,1469084400
0.1,1.0,13752,0.9,1123804234,SP500_50,1225557671.0,2,1469170800
0.1,3550.0,13753,0.9,1119009123,SP500_50,1208974049.0,2,1469430000
0.1,914420.0,13754,0.9,1102361703,SP500_50,1205050821.0,2,1469516400
0.1,13.0,13755,0.9,1109429661,SP500_50,1134083305.0,2,1469602800
0.1,18.0,13756,0.9,1102076890,SP500_50,1092180255.0,2,1469689200
0.1,1933971.0,13757,0.9,1116683362,SP500_50,1109087470.0,2,1469775600
0.1,14149321.0,13758,0.9,1105963849,SP500_50,1098898394.0,2,1470034800
0.1,1429330.0,13759,0.9,1099920950,SP500_50,1096433607.0,2,1470121200
0.1,26635.0,13760,0.9,1099001888,SP500_50,1095186743.0,2,1470207600
0.1,1082755447.0,13761,0.9,1098217053,SP500_50,0.0,2,1470294000
0.1,77503840.0,13762,0.9,1096471845,SP500_50,1004936726.0,2,1470380400
0.1,1006575377.0,13763,0.9,1094420331,SP500_50,73343030.0,2,1470639600
0.1,3220651.0,13764,0.9,1096886550,SP500_50,1076769596.0,2,1470726000
0.1,26.0,13765,0.9,1099828967,SP500_50,1082127794.0,2,1470812400
0.1,6419.0,13766,0.9,1102602797,SP500_50,1079759108.0,2,1470898800
0.1,3386604.0,13767,0.9,1098529271,SP500_50,1070500172.0,2,1470985200
0.1,86.0,13768,0.9,1094983248,SP500_50,1066547546.0,2,1471244400
0.1,42867556.0,13769,0.9,1072673256,SP500_50,1006883572.0,2,1471330800
0.1,1012509268.0,13770,0.9,1074254032,SP500_50,37595505.0,2,1471417200
0.1,41512277.0,13771,0.9,1065764523,SP500_50,1008438258.0,2,1471503600
0.1,468353421.0,13772,0.9,1056684604,SP500_50,575887426.0,2,1471590000
0.1,4552902.0,13773,0.9,1056406761,SP500_50,1042356742.0,2,1471849200
0.1,466962020.0,13774,0.9,1056917653,SP500_50,584213978.0,2,1471935600
0.1,2920299.0,13775,0.9,1056602340,SP500_50,1052742643.0,2,1472022000
0.1,466538702.0,13776,0.9,1060890106,SP500_50,586276336.0,2,1472108400
0.1,3161865.0,13777,0.9,1049505541,SP500_50,1044809368.0,2,1472194800
0.1,40067926.0,13778,0.9,1057635194,SP500_50,1015534272.0,2,1472454000
0.1,275970.0,13779,0.9,1054275013,SP500_50,1058144765.0,2,1472540400
0.1,5000763.0,13780,0.9,1053996348,SP500_50,1049092913.0,2,1472626800
0.1,470869710.0,13781,0.9,1056808334,SP500_50,587015947.0,2,1472713200
0.1,39.0,13782,0.9,1060014032,SP500_50,1060958844.0,2,1472799600
0.1,20954691.0,13783,0.9,1069589361,SP500_50,1045925293.0,2,1473145200
0.1,57777009.0,13784,0.9,1072184122,SP500_50,1010538494.0,2,1473231600
0.1,4.0,13785,0.9,1070203773,SP500_50,1066793356.0,2,1473318000
0.1,12050996.0,13786,0.9,1033619001,SP500_50,1020573369.0,2,1473404400
0.1,4390254.0,13787,0.9,1054298692,SP500_50,1049191249.0,2,1473663600
0.1,4390254.0,13788,0.9,1033499561,SP500_50,1025479343.0,2,1473750000
0.1,4390254.0,13789,0.9,1032324869,SP500_50,1022417230.0,2,1473836400
0.1,10052.0,13790,0.9,1043515559,SP500_50,1038678097.0,2,1473922800
0.1,237655041.0,13791,0.9,1039042188,SP500_50,796253527.0,2,1474009200
0.1,1842330.0,13792,0.9,1032094007,SP500_50,1038823096.0,2,1474268400
0.1,240501972.0,13793,0.9,1030026601,SP500_50,788703868.0,2,1474354800
0.1,24.0,13794,0.9,1043172215,SP500_50,1037964714.0,2,1474441200
0.1,64126121.0,13795,0.9,1054860917,SP500_50,967386292.0,2,1474527600
0.1,28103502.0,13796,0.9,1058701829,SP500_50,1006952894.0,2,1474614000
0.1,28103502.0,13797,0.9,1052963487,SP500_50,997580073.0,2,1474873200
0.1,64370082.0,13798,0.9,1059961026,SP500_50,964792081.0,2,1474959600
0.1,499982850.0,13799,0.9,1042957386,SP500_50,529050449.0,2,1475046000
0.1,242931745.0,13800,0.9,1040707587,SP500_50,773033692.0,2,1475132400
0.1,39.0,13801,0.9,1037594227,SP500_50,1014508003.0,2,1475218800
0.1,39.0,13802,0.9,1038551081,SP500_50,1012200271.0,2,1475478000
0.1,39.0,13803,0.9,1021347357,SP500_50,998548760.0,2,1475564400
0.1,234722.0,13804,0.9,1009485185,SP500_50,995398749.0,2,1475650800
0.1,236359743.0,13805,0.9,1008638141,SP500_50,759892330.0,2,1475737200
0.1,8962839.0,13806,0.9,1004639177,SP500_50,996246511.0,2,1475823600
0.1,3551093.0,13807,0.9,1008760755,SP500_50,1005531797.0,2,1476082800
0.1,44.0,13808,0.9,1006620185,SP500_50,1010486728.0,2,1476169200
0.1,30242413.0,13809,0.9,1012318557,SP500_50,986722403.0,2,1476255600
0.1,134946.0,13810,0.9,1012316502,SP500_50,1017685400.0,2,1476342000
0.1,30100167.0,13811,0.9,1010996423,SP500_50,984935659.0,2,1476428400
0.1,43852728.0,13812,0.9,1012764045,SP500_50,970081771.0,2,1476687600
0.1,122076.0,13813,0.9,1014662928,SP500_50,1013908445.0,2,1476774000
0.1,620.0,13814,0.9,1016715598,SP500_50,1016475519.0,2,1476860400
0.1,35901835.0,13815,0.9,996531345,SP500_50,961074891.0,2,1476946800
0.1,679300456.0,13816,0.9,973751400,SP500_50,277449287.0,2,1477033200
0.1,11895313.0,13817,0.9,966227270,SP500_50,944238129.0,2,1477292400
0.1,625588347.0,13818,0.9,960856585,SP500_50,325348987.0,2,1477378800
0.1,914073132.0,13819,0.9,955322042,SP500_50,43623119.0,2,1477465200
0.1,678966297.0,13820,0.9,971647181,SP500_50,283897297.0,2,1477551600
0.1,771187.0,13821,0.9,969190218,SP500_50,955977555.0,2,1477638000
0.1,17172658.0,13822,0.9,968909435,SP500_50,942201644.0,2,1477897200
0.1,231289419.0,13823,0.9,958585543,SP500_50,709667856.0,2,1477983600
0.1,231289419.0,13824,0.9,946447815,SP500_50,705116950.0,2,1478070000
0.1,15800102.0,13714,0.9,1014587760,SP500_50,990318883.0,3,1464332400
0.1,500473249.0,13715,0.9,1019674162,SP500_50,508670717.0,3,1464678000
0.1,18.0,13716,0.9,1009322245,SP500_50,1004288957.0,3,1464764400
0.1,62222179.0,13717,0.9,1014387197,SP500_50,951191571.0,3,1464850800
0.1,24.0,13718,0.9,1020306579,SP500_50,1014899532.0,3,1464937200
0.1,93329315.0,13719,0.9,1019911769,SP500_50,918875357.0,3,1465196400
0.1,3.0,13720,0.9,1035139656,SP500_50,1030307453.0,3,1465282800
