alpha,cash,dix,gamma,i_value,index,p_value,simrun,time
0.5,251059.0,13810,0.8,1008094548,SP500_50,1256849494.0,1,1476342000
0.5,298426022.0,13811,0.8,1006779974,SP500_50,955594198.0,1,1476428400
0.5,6606625.0,13812,0.8,1008540225,SP500_50,1247663491.0,1,1476687600
0.5,6836.0,13813,0.8,1010431188,SP500_50,1252497414.0,1,1476774000
0.5,36140891.0,13814,0.8,1012475297,SP500_50,1206543975.0,1,1476860400
0.5,401375.0,13815,0.8,992375224,SP500_50,1221693414.0,1,1476946800
0.5,9513615.0,13816,0.8,969690285,SP500_50,1159718274.0,1,1477033200
0.5,31146121.0,13817,0.8,962197535,SP500_50,1131597272.0,1,1477292400
0.5,124978248.0,13818,0.8,956849249,SP500_50,1032959584.0,1,1477378800
0.5,189472084.0,13819,0.8,951337789,SP500_50,973899681.0,1,1477465200
0.5,209225767.0,13820,0.8,967594843,SP500_50,956777838.0,1,1477551600
0.5,398598.0,13821,0.8,965148127,SP500_50,1165611492.0,1,1477638000
0.5,135602220.0,13822,0.8,964868514,SP500_50,1037591888.0,1,1477897200
0.5,155013572.0,13823,0.8,954587679,SP500_50,1010910110.0,1,1477983600
0.5,205670727.0,13824,0.8,942500572,SP500_50,952848028.0,1,1478070000
0.5,86293.0,13714,0.8,1010356334,SP500_50,1006525400.0,2,1464332400
0.5,946225347.0,13715,0.8,1015421522,SP500_50,60909442.0,2,1464678000
0.5,51.0,13716,0.8,1005112779,SP500_50,1006291907.0,2,1464764400
0.5,29717610.0,13717,0.8,1010156607,SP500_50,988302528.0,2,1464850800
0.5,25502085.0,13718,0.8,1016051302,SP500_50,993715149.0,2,1464937200
0.5,3306249.0,13719,0.8,1015658139,SP500_50,1028624236.0,2,1465196400
0.5,18.0,13720,0.8,1030822516,SP500_50,1037456233.0,2,1465282800
0.5,18.0,13721,0.8,1029470600,SP500_50,1039281363.0,2,1465369200
0.5,18.0,13722,0.8,1035712145,SP500_50,1045278220.0,2,1465455600
0.5,7.0,13723,0.8,1044311446,SP500_50,1055706211.0,2,1465542000
0.5,4424236.0,13724,0.8,1040616518,SP500_50,1050685604.0,2,1465801200
0.5,515617444.0,13725,0.8,1046175343,SP500_50,540844103.0,2,1465887600
0.5,2920667.0,13726,0.8,1044376047,SP500_50,1064431745.0,2,1465974000
0.5,2920667.0,13727,0.8,1052759213,SP500_50,1067496528.0,2,1466060400
0.5,4.0,13728,0.8,1058954026,SP500_50,1077754143.0,2,1466146800
0.5,0.0,13729,0.8,1059930527,SP500_50,1080444294.0,2,1466406000
0.5,12277658.0,13730,0.8,1067366564,SP500_50,1078514651.0,2,1466492400
0.5,420332710.0,13731,0.8,1069234143,SP500_50,673974189.0,2,1466578800
0.5,411102220.0,13732,0.8,1083393897,SP500_50,694575587.0,2,1466665200
0.5,21.0,13733,0.8,1073131184,SP500_50,1098047858.0,2,1466751600
0.5,42814816.0,13734,0.8,1079142798,SP500_50,1062442130.0,2,1467010800
0.5,58676863.0,13735,0.8,1082574435,SP500_50,1051299594.0,2,1467097200
0.5,257624728.0,13736,0.8,1093323595,SP500_50,871772686.0,2,1467183600
0.5,271356832.0,13737,0.8,1110103781,SP500_50,874985119.0,2,1467270000
0.5,15679217.0,13738,0.8,1117532578,SP500_50,1148174074.0,2,1467356400
0.5,27.0,13739,0.8,1117086761,SP500_50,1146612950.0,2,1467702000
0.5,15537615.0,13740,0.8,1118604422,SP500_50,1153256220.0,2,1467788400
0.5,7.0,13741,0.8,1100798274,SP500_50,1184884945.0,2,1467874800
0.5,1217086243.0,13742,0.8,1111434242,SP500_50,0.0,2,1467961200
0.5,16.0,13743,0.8,1110536595,SP500_50,1209436323.0,2,1468220400
0.5,644064468.0,13744,0.8,1107110001,SP500_50,592116776.0,2,1468306800
0.5,770782.0,13745,0.8,1115458864,SP500_50,1240183691.0,2,1468393200
0.5,770782.0,13746,0.8,1117213016,SP500_50,1251078567.0,2,1468479600
0.5,331367439.0,13747,0.8,1119015322,SP500_50,921477070.0,2,1468566000
0.5,1225194656.0,13748,0.8,1118933651,SP500_50,14036335.0,2,1468825200
0.5,308343550.0,13749,0.8,1114882517,SP500_50,927686742.0,2,1468911600
0.5,580992.0,13750,0.8,1113975420,SP500_50,1238382906.0,2,1468998000
0.5,13037324.0,13751,0.8,1109093561,SP500_50,1233445760.0,2,1469084400
0.5,16.0,13752,0.8,1123804234,SP500_50,1263617203.0,2,1469170800
0.5,1239309877.0,13753,0.8,1119009123,SP500_50,13847384.0,2,1469430000
0.5,314592072.0,13754,0.8,1102361703,SP500_50,935288884.0,2,1469516400
0.5,152568323.0,13755,0.8,1109429661,SP500_50,1100797546.0,2,1469602800
0.5,152568323.0,13756,0.8,1102076890,SP500_50,1098949649.0,2,1469689200
0.5,14000752.0,13757,0.8,1116683362,SP500_50,1253507866.0,2,1469775600
0.5,12049071.0,13758,0.8,1105963849,SP500_50,1273019102.0,2,1470034800
0.5,12049071.0,13759,0.8,1099920950,SP500_50,1244778721.0,2,1470121200
0.5,627206.0,13760,0.8,1099001888,SP500_50,1258439136.0,2,1470207600
0.5,23.0,13761,0.8,1098217053,SP500_50,1239873891.0,2,1470294000
0.5,23.0,13762,0.8,1096471845,SP500_50,1247214916.0,2,1470380400
0.5,23.0,13763,0.8,1094420331,SP500_50,1267466021.0,2,1470639600
0.5,23.0,13764,0.8,1096886550,SP500_50,1269491132.0,2,1470726000
0.5,23.0,13765,0.8,1099828967,SP500_50,1272022520.0,2,1470812400
0.5,23.0,13766,0.8,1102602797,SP500_50,1269237993.0,2,1470898800
0.5,23.0,13767,0.8,1098529271,SP500_50,1258859302.0,2,1470985200
0.5,2542302.0,13768,0.8,1094983248,SP500_50,1245726202.0,2,1471244400
0.5,5685089.0,13769,0.8,1072673256,SP500_50,1229468529.0,2,1471330800
0.5,574256233.0,13770,0.8,1074254032,SP500_50,659184144.0,2,1471417200
0.5,31502752.0,13771,0.8,1065764523,SP500_50,1194974289.0,2,1471503600
0.5,494301787.0,13772,0.8,1056684604,SP500_50,721818851.0,2,1471590000
